"Record_number","Study_midyear","YearsOfData","Latitude","Longitude","Site2","Study_number","Elevation","Biome","Ecosystem_state","Ecosystem_type","Leaf_habit","MAT","MAP","Meas_method","Partition_method","Stage","Rs_annual","Site.match","Manipulation","Mean.Temp.","Mean.Precip.","Latitude2","SOC_stock","Ecosystem_type2","Outlier","soil_temperature","nearest_distance_km","soil_temp_years_used","delta.Mean.Temp.","delta.Mean.Precip.","delta.Mean.soil_temperature"
12898,2016.5,1,32.8,102.55,"32.8 102.55",15304,3500,"Alpine","Natural","Grassland","Deciduous",1.5,753,"IRGA","","Mature",1851,"32.8_102.55","None",1.55272727272727,NA,32.8,77.6,"Grassland",0,4.31855417887374,5.54999999982775,2016,-3.52353438051166,NA,-7.8048893202483
12899,2017.5,1,32.8,102.55,"32.8 102.55",15304,3500,"Alpine","Natural","Grassland","Deciduous",1.5,753,"IRGA","","Mature",2247,"32.8_102.55","None",1.55272727272727,NA,32.8,77.6,"Grassland",0,4.48170623779299,5.54999999982775,2018,-3.52353438051166,NA,-7.64173726132905
12900,2018.5,1,32.8,102.55,"32.8 102.55",15304,3500,"Alpine","Natural","Grassland","Deciduous",1.5,753,"IRGA","","Mature",1847,"32.8_102.55","None",1.55272727272727,NA,32.8,77.6,"Grassland",0,4.48170623779299,5.54999999982775,2018,-3.52353438051166,NA,-7.64173726132905
12901,2019.5,1,32.8,102.55,"32.8 102.55",15304,3500,"Alpine","Natural","Grassland","Deciduous",1.5,753,"IRGA","","Mature",1728,"32.8_102.55","None",1.55272727272727,NA,32.8,77.6,"Grassland",0,4.49828745524093,5.54999999982775,2020,-3.52353438051166,NA,-7.62515604388111
12964,2016,2,37.88,114.26,"37.88 114.26",15328,350,"Subtropical","Natural","Shrubland","Deciduous",13,560,"IRGA","","Mature",558.8,"37.88_114.26","None",5.29727272727273,NA,37.88,21.4,"Shrubland",0,13.8164382934571,4.96407090988347,2016,0.221011074033805,NA,1.69299479433506
12967,2015.5,2,14.3,101.56,"14.3 101.56",15293,500,"Tropical","Natural","Deciduous Forest","Deciduous",26.7,1751.2,"IRGA","","Mature",2486.3,"14.3_101.56","None",9.27,6490,14.3,NA,"Deciduous Forest",1,24.5347000122071,4.43999999983349,2016,4.19373834676107,5602.64711748543,12.4112565130851
12975,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1021.77,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12976,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1048.26,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12977,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1036.9,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
12978,2011,1,22.31,120.36,"22.31 120.36",15324,71,"Subtropical","Managed","Deciduous Forest","Deciduous",25.1,2022,"IRGA","Exclusion","Aggrading",1165.57,"22.31_120.36","None",6.83416666666667,NA,22.31,NA,"Deciduous Forest",0,NA,NA,NA,1.75790501342775,NA,NA
