Record_number,Study_midyear,YearsOfData,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Manipulation,Mean.Temp.,Mean.Precip.,Latitude2,SOC_stock,Ecosystem_type2,Outlier,soil_temperature,nearest_distance_km,soil_temp_years_used,delta.Mean.Temp.,delta.Mean.Precip.,delta.Mean.soil_temperature
5234,2011,1,40.01666667,116.3833333,40.01666667 116.3833333,6762,51,Temperate,Managed,Mixed Forest,Mixed,10,600,IRGA,"",Mature,475,40.01666667_116.3833333,None,4.31545454545455,,40.01666667,,Mixed Forest,0,13.6037358601888,2.6162979680427,2011,-0.760807107784375,,1.48029236106676
5239,2008.5,1,26.53333333,106.7666667,26.53333333 106.7666667,6769,1200,Subtropical,"",Evergreen Forest,Evergreen,14.8,1118,Gas Chromatography,"",Mature,1175,26.53333333_106.7666667,None,4.59636363636364,1142.41666666667,26.53333333,40.1,Evergreen Forest,0,14.6934168497722,5.23258730264141,2008,-0.479898016875285,255.063784152099,2.56997335065016
5260,2010,2,35.20583333,128.1733333,35.20583333 128.1733333,7044,150,Temperate,Natural,Evergreen Forest,Evergreen,13.1,1490,IRGA,"",Mature,1080,35.20583333_128.1733333,None,4.17,,35.20583333,41.9,Evergreen Forest,0,12.762089029948,3.02999631563208,2010,-0.906261653238925,,0.638645530825963
5261,2010,2,35.20583333,128.1733333,35.20583333 128.1733333,7044,150,Temperate,Natural,Evergreen Forest,Evergreen,13.1,1490,IRGA,"",Mature,925,35.20583333_128.1733333,None,4.17,,35.20583333,41.9,Evergreen Forest,0,12.762089029948,3.02999631563208,2010,-0.906261653238925,,0.638645530825963
5262,2010,2,35.20583333,128.1733333,35.20583333 128.1733333,7044,150,Temperate,Natural,Evergreen Forest,Evergreen,13.1,1490,IRGA,"",Mature,1097,35.20583333_128.1733333,None,4.17,,35.20583333,41.9,Evergreen Forest,0,12.762089029948,3.02999631563208,2010,-0.906261653238925,,0.638645530825963
5263,2010,2,35.20583333,128.1733333,35.20583333 128.1733333,7044,150,Temperate,Natural,Evergreen Forest,Evergreen,13.1,1490,IRGA,"",Mature,1090,35.20583333_128.1733333,None,4.17,,35.20583333,41.9,Evergreen Forest,0,12.762089029948,3.02999631563208,2010,-0.906261653238925,,0.638645530825963
5264,2010,2,35.20583333,128.1733333,35.20583333 128.1733333,7044,150,Temperate,Natural,Evergreen Forest,Evergreen,13.1,1490,IRGA,"",Mature,789,35.20583333_128.1733333,None,4.17,,35.20583333,41.9,Evergreen Forest,0,12.762089029948,3.02999631563208,2010,-0.906261653238925,,0.638645530825963
5265,2010,1,34.98166667,-97.52055556,34.98166667 -97.52055556,7141,,Temperate,Natural,Grassland,Deciduous,16.3,895,IRGA,Exclusion,Mature,1223,34.98166667_-97.52055556,None,6.12029411764706,625.636363636364,34.98166667,59.7,Grassland,0,,,,1.04403246440814,-261.716518878207,
5266,2011,1,34.98166667,-97.52055556,34.98166667 -97.52055556,7141,,Temperate,Natural,Grassland,Deciduous,16.3,895,IRGA,Exclusion,Mature,1075,34.98166667_-97.52055556,None,6.12029411764706,625.636363636364,34.98166667,59.7,Grassland,0,,,,1.04403246440814,-261.716518878207,
5267,2012,1,34.98166667,-97.52055556,34.98166667 -97.52055556,7141,,Temperate,Natural,Grassland,Deciduous,16.3,895,IRGA,Exclusion,Mature,1117,34.98166667_-97.52055556,None,6.12029411764706,625.636363636364,34.98166667,59.7,Grassland,0,,,,1.04403246440814,-261.716518878207,
5277,2010.5,1,36.33,138.55,36.33 138.55,7517,1004,Temperate,Natural,Deciduous Forest,Deciduous,7.9,1198,IRGA,Exclusion,Mature,479,36.33_138.55,None,2.30909090909091,1231,36.33,69.5,Deciduous Forest,0,10.2534627278646,6.47235660287378,2010,-2.76717074414802,343.647117485429,-1.86998077125744
